1,The Met,1,858 N Broad St,Philadelphia,PA,19130,USA,1000
2,Music Palace,2,123 Main Street,Anytown,CA,12345,USA,100
3,Rock Arena,3,456 Center Avenue,Somewhere,TX,54321,USA,500
4,Jazz Haven,4,789 Broadway,Metropolis,NY,67890,USA,80
5,Metal Dome,5,101 Rocker Street,Loudville,OH,13579,USA,300
6,Pop Pavilion,6,202 Pop Lane,Harmony,FL,97531,USA,150
7,Blues Alley,7,303 Blues Boulevard,Rhythmland,GA,24680,USA,70
8,Folk Field,8,404 Folk Road,Acousticville,TN,86420,USA,120
9,Country Hall,9,505 Country Drive,Nashville,TN,12345,USA,200
10,HipHop Hub,10,606 Rap Avenue,Beat City,CA,54321,USA,250
