1,The Met,1,858 N Broad St,Philadelphia,PA,19130,USA,1000
2,The Fillmore Philadelphia,2,29 E Allen St,Philadelphia,PA,19123,USA,100
3,Moore Theatre,3,1932 2nd Ave,Seattle,WA,98101,USA,100
4,Paramount Theatre,4,911 Pine St,Seattle,WA,98101,USA,100
5,Radio City Music Hall,5,1260 6th Ave,New York,NY,10020,USA,100
6,Beacon Theatre,6,2124 Broadway,New York,NY,10023,USA,100
7,Fillmore Miami Beach,7,1700 Washington Ave,Miami,FL,33139,USA,100
8,Hard Rock Stadium,8,347 Don Shula Dr,Miami Gardens,FL,33056,USA,100
9,Greek Theatre,9,2700 N Vermont Ave,Los Angeles,CA,90027,USA,100
10,Hollywood Bowl,10,2301 N Highland Ave,Los Angeles,CA,90068,USA,100
