1,Music Palace,123 Main Street,Anytown,CA,12345,USA,100
2,Rock Arena,456 Center Avenue,Somewhere,TX,54321,USA,500
3,Jazz Haven,789 Broadway,Metropolis,NY,67890,USA,80
4,Metal Dome,101 Rocker Street,Loudville,OH,13579,USA,300
5,Pop Pavilion,202 Pop Lane,Harmony,FL,97531,USA,150
6,Blues Alley,303 Blues Boulevard,Rhythmland,GA,24680,USA,70
7,Folk Field,404 Folk Road,Acousticville,TN,86420,USA,120
8,Country Hall,505 Country Drive,Nashville,TN,12345,USA,200
9,HipHop Hub,606 Rap Avenue,Beat City,CA,54321,USA,250
10,Indie Loft,707 Indie Lane,Underground,TX,98765,USA,40
11,Soul Center,808 Soul Street,Harmony,FL,13579,USA,60
12,Electronic Dome,909 EDM Boulevard,Beat City,CA,24680,USA,300
13,Reggae Retreat,1010 Reggae Road,Island Paradise,HI,86420,USA,80
14,Classical Hall,1111 Symphony Avenue,Orchestral City,NY,97531,USA,150
15,Punk Palace,1212 Punk Lane,Underground,TX,12345,USA,50
16,R&B Lounge,1313 Rhythm Street,Grooveland,GA,54321,USA,70
17,Metalhead Arena,1414 Metal Avenue,Loudville,OH,67890,USA,250
18,Rock & Roll Hall,1515 Rock Boulevard,Musictown,CA,13579,USA,300
19,Pop Plaza,1616 Pop Street,Melodyville,TX,86420,USA,100
20,Jazz Junction,1717 Jazz Avenue,Bluesville,MS,97531,USA,120
21,Folk Field,1818 Folk Road,Harmony,FL,12345,USA,80
22,Country Club,1919 Country Lane,Twangtown,TN,54321,USA,200
23,HipHop Haven,2020 Rap Street,Beat City,CA,67890,USA,250
24,Indie Inn,2121 Indie Lane,Underground,TX,24680,USA,40
25,Soulful Stage,2222 Soul Boulevard,Grooveland,GA,13579,USA,70
26,Electronic Arena,2323 EDM Road,Technocity,CA,86420,USA,300
27,Reggae Rhythm,2424 Reggae Lane,Island Paradise,HI,12345,USA,80
28,Classical Center,2525 Symphony Street,Orchestral City,NY,97531,USA,150
29,Punk Place,2626 Punk Road,Rebelliontown,OH,54321,USA,50
30,R&B Lounge,2727 Rhythm Avenue,Grooveland,GA,67890,USA,70
31,Metal Dome,2828 Metal Street,Loudville,OH,24680,USA,250
32,Opera Oasis,2929 Opera Lane,Harmony,FL,13579,USA,60
